,labeling_funcs,uuid,train-mm,test-mm,train-lm,test-lm,epochs,cardinality,seed,log_freq
0,"LabelingFunction width1, Preprocessors: []",4,0.9586466165413534,0.5761467889908257,0.9285714285714286,0.6247706422018349,1000,4,100,10
1,"LabelingFunction height1, Preprocessors: []",4,0.9586466165413534,0.5761467889908257,0.9285714285714286,0.6247706422018349,1000,4,100,10
2,"LabelingFunction top1, Preprocessors: []",4,0.9586466165413534,0.5761467889908257,0.9285714285714286,0.6247706422018349,1000,4,100,10
3,"LabelingFunction left1, Preprocessors: []",4,0.9586466165413534,0.5761467889908257,0.9285714285714286,0.6247706422018349,1000,4,100,10
4,"LabelingFunction svm_classifier, Preprocessors: []",4,0.9586466165413534,0.5761467889908257,0.9285714285714286,0.6247706422018349,1000,4,100,10
