,uuid,labeling_funcs,train-mm,test-mm,train-lm,test-lm,epochs,cardinality,seed,log_freq
0,,"LabelingFunction width1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
1,,"LabelingFunction height1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
2,,"LabelingFunction top1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
3,,"LabelingFunction left1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
4,,"LabelingFunction drink1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
5,,"LabelingFunction drink2, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
6,,"LabelingFunction nothing1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
7,,"LabelingFunction nothing2, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
8,,"LabelingFunction waiting1, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
9,,"LabelingFunction waiting2, Preprocessors: []",0.8947368421052632,0.5137614678899083,0.9191729323308271,0.5513761467889908,1000,4,100,10
